,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_log_reg__C,param_log_reg__penalty,param_tfidf_vectorizer__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,0.35654892921447756,0.020240567684413933,0.026119709014892578,0.002027627443940688,0.9,l2,"(1, 3)","{'log_reg__C': 0.9, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7977675640183848,0.7905449770190414,0.8076165462902167,0.7844940867279895,0.78580814717477,0.7932462642460805,0.008557690193232357,18,0.909688013136289,0.9055829228243021,0.9078817733990148,0.9065834838285995,0.909374486947956,0.9078221360272323,0.0015775412781059831
15,0.04980001449584961,0.003311284394200926,0.0,0.0,0.9,elasticnet,"(1, 1)","{'log_reg__C': 0.9, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
16,0.11606082916259766,0.0037313299828794053,0.0,0.0,0.9,elasticnet,"(1, 2)","{'log_reg__C': 0.9, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
17,0.19365391731262208,0.004935281335645627,0.0,0.0,0.9,elasticnet,"(1, 3)","{'log_reg__C': 0.9, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
18,0.06814212799072265,0.0033482366015285614,0.010238885879516602,0.0018500023791718737,0.95,l2,"(1, 1)","{'log_reg__C': 0.95, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 1)}",0.8069599474720945,0.8049901510177282,0.8161523309258043,0.7969776609724047,0.7989487516425755,0.8048057684061215,0.006767612234327263,4,0.8848932676518884,0.8825944170771757,0.8829228243021346,0.8832703989492694,0.8840912822196684,0.8835544380400273,0.0008344963476131458
19,0.2196587085723877,0.029912850429357617,0.021908664703369142,0.0035002331119367547,0.95,l2,"(1, 2)","{'log_reg__C': 0.95, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 2)}",0.8003939592908733,0.7944845699277742,0.8128693368351937,0.7923784494086727,0.78580814717477,0.7971868925274568,0.00912276115165698,9,0.9042692939244663,0.9021346469622332,0.9039408866995073,0.9049417172878017,0.9069118371367592,0.9044396764021535,0.0015462603806381564
20,0.39902048110961913,0.03306337765630968,0.030485248565673827,0.0009577944518198782,0.95,l2,"(1, 3)","{'log_reg__C': 0.95, 'log_reg__penalty': 'l2', 'tfidf_vectorizer__ngram_range': (1, 3)}",0.7984241628365069,0.7912015758371634,0.8089297439264609,0.78580814717477,0.78580814717477,0.7940343553899343,0.008769363172604289,16,0.9129720853858785,0.9106732348111658,0.9116584564860427,0.9103595468724347,0.913314726645871,0.9117956100402786,0.001185969997478378
21,0.04810314178466797,0.0018433710860812573,0.0,0.0,0.95,elasticnet,"(1, 1)","{'log_reg__C': 0.95, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 1)}",,,,,,,,22,,,,,,,
22,0.12030172348022461,0.0032031719223566623,0.0,0.0,0.95,elasticnet,"(1, 2)","{'log_reg__C': 0.95, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 2)}",,,,,,,,22,,,,,,,
23,0.19794831275939942,0.00998277374693987,0.0,0.0,0.95,elasticnet,"(1, 3)","{'log_reg__C': 0.95, 'log_reg__penalty': 'elasticnet', 'tfidf_vectorizer__ngram_range': (1, 3)}",,,,,,,,22,,,,,,,
